text,author_id,id,source,lang,created_at,sentiment
"Lah bener kak, IndiHome mah ga perlu kita ragukan, mau nonton netflix berjam-jam juga tetap lancar dan aman #ThursdayOnNetflix
..",837456985356398592,1387787507656544262,Twitter Web App,in,2021-04-29T15:15:00.000Z,positif
"Yuhuuuu seneng bnget bisa nonton netflix pke IndiHome lgi, sinyalnya jga lancar bnget. #ThursdayOnNetflix",1384996496827768832,1387787507530600449,Twitter Web App,in,2021-04-29T15:15:00.000Z,positif
"woi kalian semua kalau mau nonton enak di rumah ya pakai IndiHome aja nih kayak gue, pas banget lagi bulan puasa kayak gini ngabuburit nya Maraton drama Korea #ThursdayOnNetflix",1385106327702175745,1387787507526377473,Twitter Web App,in,2021-04-29T15:15:00.000Z,positif
"Lah bener kak, IndiHome mah ga perlu kita ragukan, mau nonton netflix berjam-jam juga tetap lancar dan aman",1351020259201994758,1387787507434246148,Twitter Web App,in,2021-04-29T15:15:00.000Z,positif
jangan lupa guys kalo kalian nonton di Netflix pake IndiHome aja karena emang bener udah aku buktiin lancar banget tanpa lemot  #ThursdayOnNetflix,1381088398262210574,1387787507354439684,Twitter Web App,in,2021-04-29T15:15:00.000Z,positif
"Jadi gw lagi demen banget Netfixan karena gw udah pake IndiHome, asli sih first impression gw pas pake gilaa nih signal ngebut amat ya #ThursdayOnNetflix",1387521887442329602,1387788566051262464,Twitter for Android,in,2021-04-29T15:19:12.000Z,positif
"IndiHome emang terdabest duh terbaik deh kalo soal sinyal,  dah 3 bulan langganan netflix pake IndiHome lancar banget sinyalnya. #ThursdayOnNetflix",1386105990584492033,1387788569444425736,Twitter for Android,in,2021-04-29T15:19:13.000Z,positif
indihome bener bener ga stabil,283003015,1387812314804473857,Twitter for Android,in,2021-04-29T16:53:34.000Z,negatif
Ternyata indihome emang sempet lemot ya nanti sampe trending di indo,1212551758020374529,1387812489363001345,Twitter for Android,in,2021-04-29T16:54:16.000Z,negatif
@buryamter Indihome lucu bgt sinyal nya,1251046432267595776,1387814815150731266,Twitter for Android,in,2021-04-29T17:03:30.000Z,negatif
Baru kali ini ngeluh ke @IndiHome @IndiHomeCare mungkin sering baca lemot blaa masih sabar dong ngapain lapor lah ini di matiin satu hari siapa yang gak kesel mana gak ada pemberitahuan sebelumnya terkait hal tersebut. #Indihome,1363505636634337284,1387815352600383489,Twitter for Android,in,2021-04-29T17:05:39.000Z,negatif
@IndiHome @IndiHomeCare ditempat syaa kok tidak tersambung yaang internet nya kenapa?,3021243051,1387817928125423623,Twitter for Android,in,2021-04-29T17:15:53.000Z,negatif
"@IndiHome, jaringanmu yang lelet mengganggu kesenanganku malam ini.",1224007151447707648,1387818108803457025,Twitter for iPhone,in,2021-04-29T17:16:36.000Z,negatif
